occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.591,0.0222,0.342,0.0706,0,0,0,0,0,0.567,0
0.978,0.653,0.0436,0.201,0.185,0,0,0,0,0,0.717,0.193
0.667,0.707,0.0675,0.14,0.297,0,0,0,0,0,0,0.271
0.478,0.682,0.0635,0.22,0.253,0,0,0,0,0,0,0.0451
0.333,0.651,0.0585,0.281,0.2,0,0,0,0,0,0,0.18
0.333,0.651,0.0654,0.281,0.199,0,0,0,0,0,0,0.18
0.333,0.651,0.0716,0.281,0.194,0,0,0,0,0,0,0.271
0.333,0.651,0.0762,0.281,0.188,0,0,0,0,0,0,0.271
0.144,0.602,0.0429,0.36,0.11,0.588,0.267,0,0,0,0,0
0,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.211,0.628,0.0697,0.332,0.153,0,0,0,0,0,0,0.0451
0.772,0.822,0.244,0.0959,0.497,0,0,0,0,0,0.317,0
1,0.954,0.379,0,0.806,0,0,0,0,0,0.967,0.226
1,0.99,0.493,0,0.977,0.103,0.0667,0,0,0,0,0.316
1,0.988,0.681,0,1,0.44,0.467,0,0,0,0,0.0451
1,0.957,0.88,0,0.855,0.487,0.533,0,0,0,0,0.0451
1,0.889,0.911,0.00936,0.649,0.475,0,0,0,0,0,0
1,0.728,0.464,0.15,0.368,0.482,0,0,0,0,0,0.141
1,0.623,0.13,0.29,0.152,0,0,0,0,0,0,0.147
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.568,0.017,0.412,0.0515,0,0,0,0,0,0,0
1,0.612,0.0222,0.281,0.0546,0,0,0,0,0,0,0.0902
1,0.597,0.0175,0.325,0.0509,0,0,0,0,0,0,0.18
1,0.58,0.0176,0.377,0.0515,0,0,0,0,0,0,0.225
1,0.612,0.024,0.281,0.0715,0,0,0,0,0,0,0.386
0.978,0.649,0.0422,0.211,0.178,0,0,0,0,0,0,0.173
0.478,0.591,0.025,0.36,0.0962,0,0,0,0,0,0,0
0.333,0.614,0.0376,0.342,0.134,0,0,0,0,0,0,0.226
0.311,0.645,0.0554,0.29,0.19,0.461,0.533,0,0,0,0,0.0451
0,0.565,0.0163,0.421,0.0509,0.14,0,0,0,0,0,0
0,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.272,0.635,0.0715,0.306,0.161,0,0,0,0,0,0.25,0.406
0.333,0.651,0.0891,0.281,0.188,0,0,0,0,0,0,0.316
0.333,0.658,0.0965,0.281,0.202,0,0,0,0,0,0,0.0902
0.356,0.683,0.12,0.271,0.255,0,0,0,0,0,0,0.135
0.939,0.932,0.359,0.0257,0.767,0,0,0,0,0,0,0.273
1,0.99,0.493,0,0.977,0,0,0,0,0,0.25,0
1,0.988,0.681,0,1,0,0,0,0,0,0,0.18
1,0.957,0.88,0,0.855,0,0,0,0,0,0,0
1,0.746,0.495,0.204,0.389,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.591,0.0187,0.342,0.052,0,0,0,0,0,0,0.192
1,0.615,0.0247,0.271,0.0738,0,0,0,0,0,0,0.347
1,0.673,0.0481,0.14,0.2,0,0,0,0,0,0,0.357
1,0.752,0.0844,0.0608,0.374,0,0,0,0,0,0.317,0.347
1,0.814,0.119,0,0.478,0,0,0,0,0,0.183,0.218
1,0.822,0.143,0,0.498,0,0,0,0,0,0,0.135
0.539,0.704,0.0936,0.194,0.293,0,0,0,0,0,0,0.208
0.333,0.651,0.0716,0.281,0.194,0,0,0,0,0,0,0.38
0.333,0.651,0.0762,0.281,0.188,0,0,0,0,0,0,0.456
0.333,0.651,0.0828,0.281,0.186,0,0,0,0,0,0,0.467
0.333,0.651,0.0891,0.281,0.188,0,0,0,0,0,0,0.271
0.333,0.658,0.0965,0.281,0.202,0,0,0,0,0,0,0.0902
0.878,0.859,0.276,0.0515,0.561,0,0,0,0,0,0.817,0.406
1,0.954,0.379,0,0.806,0,0,0,0,0,0.217,0.18
0.811,0.908,0.391,0.0795,0.791,0,0,0,0,0,0,0
0.939,0.961,0.648,0.0257,0.939,0,0,0,0,0,0.567,0.233
1,0.922,0.817,0.0351,0.778,0,0,0,0,0,0.2,0.135
1,0.896,0.931,0,0.661,0,0,0,0,0,0,0.336
1,0.751,0.53,0.115,0.411,0,0,0,0,0,0,0.303
1,0.685,0.249,0.15,0.257,0,0,0,0,0,0,0.109
1,0.588,0.0483,0.36,0.0806,0,0,0,0,0,0,0.0913
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.591,0.0187,0.342,0.052,0,0,0,0,0,0.25,0.486
1,0.585,0.0181,0.36,0.0517,0,0,0,0,0,0,0
1,0.569,0.0176,0.412,0.0579,0,0,0,0,0,0,0.073
0.978,0.656,0.0493,0.246,0.208,0,0,0,0,0,0,0.603
0.644,0.642,0.048,0.29,0.183,0,0,0,0,0,0,0.101
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.614,0.0511,0.342,0.128,0,0,0,0,0,0,0
0.333,0.651,0.0828,0.281,0.186,0,0,0,0,0,0,0.135
0.333,0.651,0.0891,0.281,0.188,0,0,0,0,0,0,0.135
0.356,0.665,0.102,0.271,0.213,0,0,0,0,0,0,0.135
0.772,0.822,0.244,0.0959,0.497,0,0,0,0,0,0.25,0.316
1,0.954,0.379,0,0.806,0,0,0,0,0,0,0.18
1,0.99,0.493,0,0.977,0,0,0,0,0,0,0.0451
