Region,AMY_2022,AMY_2023,CWEC_2020,PCIC_2020,PCIC_2050,PCIC_2080
Saguenay-Lac-Saint-Jean,bagotville_2022-01-01_000005.epw,bagotville_2023-01-01_000005.epw,CAN_QC_BAGOTVILLE-A_7060400_CWEC.epw,2020s_CAN_QC_Saguenay-Bagotville.AP-CFB.Bagotville.717270_CWEC2016.epw,2050s_CAN_QC_Saguenay-Bagotville.AP-CFB.Bagotville.717270_CWEC2016.epw,2080s_CAN_QC_Saguenay-Bagotville.AP-CFB.Bagotville.717270_CWEC2016.epw
Chaudière-Appalaches,beauceville_2022-01-01_000005.epw,beauceville_2023-01-01_000005.epw,CAN_QC_BEAUCEVILLE_7028754_CWEC.epw,2020s_CAN_QC_Beauceville.713230_CWEC2016.epw,2050s_CAN_QC_Beauceville.713230_CWEC2016.epw,2080s_CAN_QC_Beauceville.713230_CWEC2016.epw
Nord-du-Québec,chibougamau-chapais_2022-01-01_000005.epw,chibougamau-chapais_2023-01-01_000005.epw,CAN_QC_CHAPAIS_7091299_CWEC.epw,2020s_CAN_QC_Chapais.718240_CWEC2016.epw,2050s_CAN_QC_Chapais.718240_CWEC2016.epw,2080s_CAN_QC_Chapais.718240_CWEC2016.epw
Gaspésie-Îles-de-la-Madeleine,gaspe_2022-01-01_000005.epw,gaspe_2023-01-01_000005.epw,CAN_QC_GASPE-A_7052601_CWEC.epw,2020s_CAN_QC_Gaspe.AP.711880_CWEC2016.epw,2050s_CAN_QC_Gaspe.AP.711880_CWEC2016.epw,2080s_CAN_QC_Gaspe.AP.711880_CWEC2016.epw
Montérégie,l'acadie_2022-01-01_000005.epw,l'acadie_2023-01-01_000005.epw,CAN_QC_L'ACADIE_702LED4_CWEC.epw,2020s_CAN_QC_L-Acadie.713720_CWEC2016.epw,2050s_CAN_QC_L-Acadie.713720_CWEC2016.epw,2080s_CAN_QC_L-Acadie.713720_CWEC2016.epw
Lanaudière,l'assomption_2022-01-01_000005.epw,l'assomption_2023-01-01_000005.epw,CAN_QC_L'ASSOMPTION_7014160_CWEC.epw,2020s_CAN_QC_L-Assompton.715240_CWEC2016.epw,2050s_CAN_QC_L-Assompton.715240_CWEC2016.epw,2080s_CAN_QC_L-Assompton.715240_CWEC2016.epw
Centre-du-Québec,lemieux_2022-01-01_000005.epw,lemieux_2023-01-01_000005.epw,CAN_QC_LEMIEUX_701Q009_CWEC.epw,2020s_CAN_QC_Lemieux.716160_CWEC2016.epw,2050s_CAN_QC_Lemieux.716160_CWEC2016.epw,2080s_CAN_QC_Lemieux.716160_CWEC2016.epw
Bas-Saint-Laurent,montjoli_2022-01-01_000005.epw,montjoli_2023-01-01_000005.epw,CAN_QC_POINTE-AU-PERE-(INRS)_7056068_CWEC.epw,2020s_CAN_QC_Pointe.au.Pere.715540_CWEC2016.epw,2050s_CAN_QC_Pointe.au.Pere.715540_CWEC2016.epw,2080s_CAN_QC_Pointe.au.Pere.715540_CWEC2016.epw
Laval,montreal(dorval)_2022-01-01_000005.epw,montreal(dorval)_2023-01-01_000005.epw,CAN_QC_MONTREAL-INTL-A_7025251_CWEC.epw,2020s_CAN_QC_Montreal-McTavish.716120_CWEC2016.epw,2050s_CAN_QC_Montreal-McTavish.716120_CWEC2016.epw,2080s_CAN_QC_Montreal-McTavish.716120_CWEC2016.epw
Montréal,montreal(dorval)_2022-01-01_000005.epw,montreal(dorval)_2023-01-01_000005.epw,CAN_QC_MONTREAL-INTL-A_7025251_CWEC.epw,2020s_CAN_QC_Montreal-McTavish.716120_CWEC2016.epw,2050s_CAN_QC_Montreal-McTavish.716120_CWEC2016.epw,2080s_CAN_QC_Montreal-McTavish.716120_CWEC2016.epw
Outaouais,ottawa_2022-01-01_000005.epw,ottawa_2023-01-01_000005.epw,CAN_QC_HIGH-FALLS_7033121_CWEC.epw,2020s_CAN_QC_High.Falls.713910_CWEC2016.epw,2050s_CAN_QC_High.Falls.713910_CWEC2016.epw,2080s_CAN_QC_High.Falls.713910_CWEC2016.epw
